,ruleid,rule,upi,fresp,code,function
1,1,There is a red,vcbkdskksk,they have to be with all three different colors,o,"exists(function(x1) {exists(function(x2) {exists(function(x3) {and(and(equal(x1, 'red', 'colour'), equal(x2, 'green', 'colour')), equal(x3, 'blue', 'colour'))}, X)}, X)}, X)"
2,1,There is a red,mesbxrjdpg,there has to be any amount of red and green,o,"exists(function(x1) {exists(function(x2) {and(equal(x1, 'red', 'colour'), equal(x2, 'green', 'colour'))}, X)}, X)"
3,1,There is a red,zwrcdrrtwi,there has to be at least one red and one color of each,o,"exists(function(x1) {exists(function(x2) {exists(function(x3) {and(and(equal(x1, 'red', 'colour'), equal(x2, 'green', 'colour')), equal(x3, 'blue', 'colour'))}, X)}, X)}, X)"
4,1,There is a red,hibacpjdfh,there cannot be only one of them there has to be three and they do not have to be all the same color,d,"atleast(function(x1)  {T},3,  X)"
5,1,There is a red,ovngoiiqro,you have to have red in them,c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
6,1,There is a red,jafwjckfvc,there has to be at least one red block,c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
7,1,There is a red,blrcjyghdb,you have to have two of one color and one of the other color and one of them has to be stacked on top of each other and the one that is stacked on top of it has to be a different color,d,"exists(function(x1) {exists(function(x2) {exists(function(x3){and(and(hor(x1,x2,'stacked'), not(equal(x1,x2,'colour'))), equal(x1,x3,'colour'))}, X)}, X)}, X)"
8,1,There is a red,cgilusiyxy,they cannot have two bottoms touching,d,"exists(function(x1) {exists(function(x2) {not(hor(x1,x2,'contact'))}, X)}, X)"
9,1,There is a red,wdrpuuyzji,it has to have a smaller shape on top of it in a different color,d,"exists(function(x1) {exists(function(x2) {and(and(hor(x1,x2,'stacked'), greater(x1,x2,'ypos')), less(x1,x2, 'size'))}, X)}, X)"
10,1,There is a red,yjheaxptzh,there has to be at least one red block,c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
